tt0000574;nm0589992
tt0002101;nm0182557
tt0002461;nm0443856
tt0004099;nm0601210
tt0004099;nm0522550
tt0004099;nm0365121
tt0004457;nm0601210
tt0004465;nm0533290
tt0004872;nm0191950
tt0006327;nm0933426
tt0006509;nm0139333
tt0006509;nm0831891
tt0006509;nm0288612
tt0006517;nm0279511
tt0006731;nm0139333
tt0006731;nm0831891
tt0006731;nm0288612
tt0006745;nm0831891
tt0006826;nm0365121
tt0006886;nm0100270
tt0007367;nm0918594
tt0008150;nm0205890
tt0008188;nm0018273
tt0008309;nm0205890
tt0008395;nm0650152
tt0008499;nm0205890
tt0008652;nm0607175
tt0008652;nm2053343
tt0008687;nm0555519
tt0008687;nm0795025
tt0008687;nm0395576
tt0008687;nm0330036
tt0008775;nm0672907
tt0008891;nm0532031
tt0008891;nm0068818
tt0009150;nm0018273
tt0009150;nm0027350
tt0009150;nm0027355
tt0009440;nm0855935
tt0009475;nm0330036
tt0009682;nm0341503
tt0009682;nm0090205
tt0009892;nm0546295
tt0009893;nm0092290
tt0009968;nm0397128
tt0010040;nm0501619
tt0010103;nm0823299
tt0010193;nm0016534
tt0010193;nm0336339
tt0010208;nm0626520
tt0010219;nm0094894
tt0010219;nm0497759
tt0010227;nm0329467
tt0010247;nm0745192
tt0010418;nm0497759
tt0010466;nm0265407
tt0010662;nm0218781
tt0010662;nm0336339
tt0010806;nm0218781
tt0011130;nm0485273
tt0011193;nm0175050
tt0011193;nm0922837
tt0011237;nm0626520
tt0011302;nm0202555
tt0011302;nm0002193
tt0011302;nm0695078
tt0011317;nm0175050
tt0011358;nm0831891
tt0011358;nm0272450
tt0011387;nm0066024
tt0011415;nm0218781
tt0011439;nm0209323
tt0011623;nm0485273
tt0011623;nm0139862
tt0011652;nm0095371
tt0011716;nm0601077
tt0011741;nm0329467
tt0011742;nm0333676
tt0011753;nm0094894
tt0011753;nm0497759
tt0011779;nm0372202
tt0011837;nm0626520
tt0011870;nm0810342
tt0011908;nm0341503
tt0011908;nm0521120
tt0011948;nm0020258
tt0011948;nm0165661
tt0011948;nm0824330
tt0011948;nm0511731
tt0011948;nm0199748
tt0011960;nm0333676
tt0012027;nm0589105
tt0012068;nm0855935
tt0012122;nm0218781
tt0012122;nm0336339
tt0012134;nm0695078
tt0012134;nm0243721
tt0012136;nm0507830
tt0012190;nm0855935
tt0012349;nm0001067
tt0012397;nm0341503
tt0012465;nm0272450
tt0012486;nm0001067
tt0012513;nm0209323
tt0012538;nm0324468
tt0012631;nm0840560
tt0012631;nm0768025
tt0012631;nm0359226
tt0012642;nm0205192
tt0012675;nm0589279
tt0012699;nm0124878
tt0012752;nm0209323
tt0012755;nm0265407
tt0012755;nm0366002
tt0012763;nm0224495
tt0012769;nm0515421
tt0012928;nm0795025
tt0012952;nm0497759
tt0013033;nm0286120
tt0013059;nm0535203
tt0013075;nm0205192
tt0013085;nm0001966
tt0013201;nm0205192
tt0013372;nm0601077
tt0013402;nm0265551
tt0013442;nm0374594
tt0013450;nm0001067
tt0013450;nm0765125
tt0013515;nm0855935
tt0013574;nm0203384
tt0013579;nm0923377
tt0013590;nm0224495
tt0013592;nm0209323
tt0013597;nm0218781
tt0013619;nm0286924
tt0013674;nm0511731
tt0013688;nm0938923
tt0013688;nm0497244
tt0013688;nm0602960
tt0013704;nm0324468
tt0013802;nm0601706
tt0013802;nm0101956
tt0013830;nm0923377
tt0014029;nm0336339
tt0014109;nm0001256
tt0014109;nm0617527
tt0014142;nm0589105
tt0014205;nm0139862
tt0014341;nm0124287
tt0014358;nm0718466
tt0014416;nm0209462
tt0014429;nm0205192
tt0014440;nm0855935
tt0014440;nm0401968
tt0014463;nm0065183
tt0014463;nm0065184
tt0014532;nm0601706
tt0014604;nm0218781
tt0014605;nm0485273
tt0014611;nm0428751
tt0014611;nm0428752
tt0014624;nm0607369
tt0014646;nm0407970
tt0014646;nm0650152
tt0014646;nm0813216
tt0014672;nm0218781
tt0014672;nm0569465
tt0014702;nm0000802
tt0014702;nm0401968
tt0014721;nm0001966
tt0014721;nm0824330
tt0014760;nm0824330
tt0014826;nm0823299
tt0014854;nm0084098
tt0014898;nm0381642
tt0014898;nm0869794
tt0014925;nm0823299
tt0015014;nm0695078
tt0015018;nm0218781
tt0015036;nm0644054
tt0015116;nm0601963
tt0015136;nm0339669
tt0015145;nm0203384
tt0015163;nm0570230
tt0015167;nm0055823
tt0015167;nm0643437
tt0015167;nm0301567
tt0015167;nm0283901
tt0015213;nm0407970
tt0015213;nm0813216
tt0015224;nm0938923
tt0015224;nm0047720
tt0015224;nm0614515
tt0015224;nm0614516
tt0015224;nm0209462
tt0015224;nm0265551
tt0015289;nm0485273
tt0015310;nm0171873
tt0015312;nm0206333
tt0015312;nm0445229
tt0015312;nm0224495
tt0015312;nm0588003
tt0015324;nm0570230
tt0015361;nm0476828
tt0015361;nm0795500
tt0015400;nm0938923
tt0015400;nm0426710
tt0015500;nm0528908
tt0015500;nm0607175
tt0015500;nm2053343
tt0015500;nm0179247
tt0015500;nm0171873
tt0015518;nm0336339
tt0015643;nm0723678
tt0015643;nm0709491
tt0015648;nm0090434
tt0015687;nm0268190
tt0015687;nm0549293
tt0015693;nm0672907
tt0015758;nm0000802
tt0015768;nm0625047
tt0015801;nm0602914
tt0015801;nm0695078
tt0015801;nm0060715
tt0015841;nm0444753
tt0015841;nm0026849
tt0015842;nm0001256
tt0015864;nm0354913
tt0015883;nm0286120
tt0015935;nm1281229
tt0016005;nm0607369
tt0016005;nm0497344
tt0016013;nm0272059
tt0016023;nm0364711
tt0016028;nm0341503
tt0016028;nm0748979
tt0016029;nm0974178
tt0016029;nm0000073
tt0016029;nm0153679
tt0016039;nm0071582
tt0016185;nm0051765
tt0016185;nm0848426
tt0016201;nm0001966
tt0016201;nm0445229
tt0016201;nm0444753
tt0016226;nm0001966
tt0016226;nm0124878
tt0016226;nm0445229
tt0016230;nm0313867
tt0016230;nm0835739
tt0016232;nm3482433
tt0016232;nm0372020
tt0016240;nm0097882
tt0016240;nm1433589
tt0016241;nm0497344
tt0016241;nm0601963
tt0016258;nm0001067
tt0016288;nm0122488
tt0016288;nm0329467
tt0016288;nm0633260
tt0016288;nm1209936
tt0016294;nm0101956
tt0016308;nm0218781
tt0016309;nm0642063
tt0016310;nm0345925
tt0016310;nm0354913
tt0016338;nm0644054
tt0016392;nm0250559
tt0016461;nm0066024
tt0016473;nm0247361
tt0016473;nm0401968
tt0016491;nm0286120
tt0016544;nm0245386
tt0016548;nm0576373
tt0016559;nm0407970
tt0016559;nm0546531
tt0016630;nm0642063
tt0016634;nm0047720
tt0016634;nm0285391
tt0016643;nm0329467
tt0016654;nm1277876
tt0016664;nm0124878
tt0016664;nm0310980
tt0016664;nm0285831
tt0016664;nm1366309
tt0016690;nm0318829
tt0016690;nm0124287
tt0016690;nm0047720
tt0016762;nm0001966
tt0016762;nm0445229
tt0016804;nm0936079
tt0016804;nm0000802
tt0016804;nm0001485
tt0016822;nm0048408
tt0016827;nm0101956
tt0016832;nm0521120
tt0016847;nm0394806
